net,kode_stasiun
IA,PANJI
IA,CILJI
IA,PACJI
IA,POPJI
IA,MUNJI
IA,AAI
IA,ABJI
IA,ALKI
IA,APSI
IA,ATNI
IA,BAKI
IA,BASI
IA,BATI
IA,BBJI
IA,BBKI
IA,BBSI
IA,BBSI
IA,BJI
IA,BKB
IA,BKNI
IA,BKSI
IA,BLJI
IA,BLSI
IA,BNDI
IA,BNSI
IA,BSI
IA,BSMI
IA,BSSI
IA,BWJI
IA,BYJI
IA,CASI
IA,CBJI
IA,CGJI
IA,CISI
IA,CLJI
IA,CMJI
IA,CNJI
IA,CTJI
IA,DBJI
IA,DBNI
IA,DNP
IA,DSRI
IA,EDFI
IA,EGSI
IA,ERPI
IA,FAKI
IA,GENI
IA,GLMI
IA,GMJI
IA,GRJI
IA,GSI
IA,JAY
IA,JCJI
IA,KASI
IA,KBKI
IA,KCSI
IA,KDI
IA,KHK
IA,KLI
IA,KLNI
IA,KMPI
IA,KMSI
IA,KPJI
IA,KRAI
IA,KRJI
IA,KRK
IA,KSI
IA,LASI
IA,LBMI
IA,LDSI
IA,LEM
IA,LHMI
IA,LHSI
IA,LRTI
IA,LUWI
IA,LWLI
IA,MASI
IA,MBJI
IA,MBSI
IA,MDSI
IA,MGAI
IA,MJSI
IA,MKBI
IA,MKS
IA,MLJI
IA,MLSI
IA,MMPI
IA,MMRI
IA,MNAI
IA,MNI
IA,MNSI
IA,MPSI
IA,MRSI
IA,MSAI
IA,MSSI
IA,MTAI
IA,MTKI
IA,MTNI
IA,NBBI
IA,NBPI
IA,NGJI
IA,NLAI
IA,OBMI
IA,PBKI
IA,PBSI
IA,PCI
IA,PCJI
IA,PDSI
IA,PKKI
IA,PLAI
IA,PLKI
IA,PMBI
IA,PMSI
IA,PPBI
IA,PPI
IA,PPJI
IA,PPSI
IA,PSI
IA,PSSI
IA,PTKI
IA,PWJI
IA,RAPI
IA,RBSI
IA,RGRI
IA,RKPI
IA,RPSI
IA,RTBI
IA,SANI
IA,SASI
IA,SAUI
IA,SBJI
IA,SBNI
IA,SBSI
IA,SCJI
IA,SDSI
IA,SGKI
IA,SGSI
IA,SIJI
IA,SISI
IA,SKJI
IA,SLSI
IA,SMKI
IA,SMPI
IA,SMRI
IA,SMSI
IA,SNJI
IA,SNSI
IA,SOEI
IA,SPSI
IA,SRBI
IA,SRPI
IA,SRSI
IA,SSKI
IA,SSSI
IA,SWI
IA,SWJI
IA,TARAI
IA,TBJI
IA,TDNI
IA,TGJI
IA,TLE2
IA,TMSI
IA,TNG
IA,TNTI
IA,TPI
IA,TPRI
IA,TRSI
IA,TSI
IA,TTSI
IA,TWSI
IA,UBSI
IA,UGM
IA,UWJI
IA,WAMI
IA,WBSI
IA,WOJI
IA,WSI
IA,BAJI
IA,BKJI
IA,BMSI
IA,BPJI
IA,BTJI
IA,BUJI
IA,CIJI
IA,CSJI
IA,GBJI
IA,GEJI
IA,GGJI
IA,JASI
IA,JBJI
IA,JMSI
IA,JPJI
IA,JPSI
IA,KBBI
IA,KLJI
IA,KWJI
IA,LLSI
IA,LUJI
IA,MBBI
IA,NKBI
IA,PBJI
IA,PKJI
IA,PKSI
IA,PLJI
IA,PLSI
IA,PPLI
IA,PRJI
IA,PSLI
IA,PTJI
IA,SEJI
IA,STSI
IA,TOJI
IA,TRPI
IA,TUJI
IA,UTSI
IA,WLJI
IA,WRJI
IA,ABSM
IA,ACJM
IA,ALTI
IA,ARMI
IA,ARPI
IA,BBCI
IA,BBCM
IA,BBJM
IA,BDCM
IA,BESI
IA,BESM
IA,BGCI
IA,BGCM
IA,BHCM
IA,BLCM
IA,BLSM
IA,BNTI
IA,BOSM
IA,BPSM
IA,BTCM
IA,BUSI
IA,BYLI
IA,CBJM
IA,CCJM
IA,CIJM
IA,CSJM
IA,CWJM
IA,DBKI
IA,DDSI
IA,DOCM
IA,DYPI
IA,GESM
IA,GGJM
IA,GHMI
IA,GKJM
IA,GPSM
IA,GTSI
IA,GUJM
IA,IBTI
IA,IHMI
IA,IWPI
IA,JBJM
IA,JHMI
IA,JTJM
IA,KBJM
IA,KGCM
IA,KLSM
IA,KPJM
IA,KTMI
IA,KTTI
IA,KUSI
IA,LESM
IA,LHSM
IA,LISM
IA,LJPI
IA,LKCI
IA,LKSM
IA,LLSM
IA,LMTI
IA,LPCM
IA,LPSM
IA,LSCM
IA,LTSM
IA,LUCM
IA,MASM
IA,MBPI
IA,MBSM
IA,MIPI
IA,MKJM
IA,MKSM
IA,MLJM
IA,MMCI
IA,MPSM
IA,MSCM
IA,MTCM
IA,MTSI
IA,MTSM
IA,NBMI
IA,ONSM
IA,PABI
IA,PBCI
IA,PBLI
IA,PCJM
IA,PDLI
IA,PICM
IA,PKCI
IA,PKJM
