net,kode_stasiun
IA,AAFM
IA,AAI
IA,AAII
IA,ABJI
IA,ABSM
IA,ACBM
IA,ACJM
IA,ALKI
IA,ALTI
IA,AMGI
IA,AMGS
IA,AMPM
IA,ANAN
IA,ANAPI
IA,APSI
IA,APSR
IA,APSSI
IA,ARKPI
IA,ARMI
IA,ARPI
IA,ARSKI
IA,ASJR
IA,ASSR
IA,ASTTI
IA,ATJN
IA,ATKTI
IA,ATNI
IA,AUSN
IA,BACE
IA,BAHA
IA,BAJI
IA,BAKI
IA,BAL00
IA,BAL01
IA,BAL02
IA,BALB
IA,BALE
IA,BALEB
IA,BAPJI
IA,BASAI
IA,BASI
IA,BASN
IA,BASO
IA,BATI
IA,BATPI
IA,BB01
IA,BB02
IA,BB03
IA,BB04
IA,BB05
IA,BB06
IA,BB07
IA,BB08
IA,BB09
IA,BB10
IA,BBA01
IA,BBA02
IA,BBBCM
IA,BBBR
IA,BBCI
IA,BBCM
IA,BBJI
IA,BBJM
IA,BBJN
IA,BBJR
IA,BBKI
IA,BBLSI
IA,BBSI
IA,BBSN
IA,BBSR
IA,BCJN
IA,BCSN
IA,BDBI
IA,BDCM
IA,BDMI
IA,BDMUI
IA,BEFA
IA,BEKI
IA,BEPA
IA,BESI
IA,BESM
IA,BGASI
IA,BGCI
IA,BGCM
IA,BGKI
IA,BHCM
IA,BJI
IA,BJK00
IA,BJK02
IA,BJK03
IA,BJK05
IA,BJK07
IA,BJK08
IA,BJK10
IA,BJK11
IA,BJK12
IA,BJMI
IA,BKASI
IA,BKB
IA,BKJI
IA,BKNI
IA,BKSI
IA,BLCM
IA,BLJI
IA,BLJR
IA,BLSI
IA,BLSM
IA,BLSN
IA,BMASI
IA,BMBNG
IA,BMJR
IA,BMNI
IA,BMPI
IA,BMSI
IA,BNDI
IA,BNSI
IA,BNSN
IA,BNTI
IA,BOJI
IA,BOSM
IA,BPJI
IA,BPMJM
IA,BPSM
IA,BPSR
IA,BRSN
IA,BSI
IA,BSJN
IA,BSJR
IA,BSMI
IA,BSSI
IA,BTCM
IA,BTJI
IA,BTJN
IA,BTSI
IA,BTSN
IA,BTSPI
IA,BTSR
IA,BUBSI
IA,BUJI
IA,BUKI
IA,BUMSI
IA,BUSI
IA,BUSN
IA,BWJI
IA,BYJI
IA,BYJR
IA,BYLI
IA,CASI
IA,CBJI
IA,CBJM
IA,CBJN
IA,CBJR
IA,CCJM
IA,CCJR
IA,CCSR
IA,CEBI
IA,CEMA
IA,CERI
IA,CESA
IA,CGJI
IA,CGJR
IA,CIJI
IA,CIJM
IA,CIKJI
IA,CILA
IA,CILJI
IA,CISI
IA,CLJI
IA,CLJO
IA,CLJR
IA,CMJI
IA,CMJN
IA,CNJI
IA,CNLN
IA,CPJR
IA,CPPU
IA,CSBJI
IA,CSJI
IA,CSJM
IA,CSJR
IA,CTJI
IA,CWJM
IA,DASN
IA,DBJI
IA,DBKI
IA,DBNFM
IA,DBNI
IA,DCJN
IA,DDSI
IA,DEBI
IA,DEMO
IA,DJA
IA,DNP
IA,DNPB
IA,DOCM
IA,DSJR
IA,DSRI
IA,DTJN
IA,DWIKO
IA,DYPI
IA,ECJN
IA,EDFI
IA,EDMPI
IA,EGSI
IA,ELMPI
IA,ERPI
IA,ERPN
IA,ESJR
IA,ESNI
IA,ESSN
IA,FAKI
IA,FKMPM
IA,FKSPI
IA,GARPI
IA,GBJI
IA,GBJO
IA,GBJR
IA,GCJR
IA,GEBBI
IA,GEJI
IA,GENI
IA,GESM
IA,GGJI
IA,GGJM
IA,GGSN
IA,GHMI
IA,GKJM
IA,GLMI
IA,GMCI
IA,GMJI
IA,GPSM
IA,GRJI
IA,GSI
IA,GSNI
IA,GTJI
IA,GTJN
IA,GTOI
IA,GTSI
IA,GUJM
IA,HINSI
IA,HMHN
IA,HSSR
IA,IATSM
IA,IBJN
IA,IBTI
IA,IGBI
IA,IHMI
IA,IHRSI
IA,ILSN
IA,IMSR
IA,ISSR
IA,ITSU
IA,IWPI
IA,JAASI
IA,JABI
IA,JACE
IA,JAGI
IA,JAKO
IA,JAPE
IA,JARU
IA,JASE
IA,JASI
IA,JASN
IA,JATA
IA,JAUI
IA,JAY
IA,JBJI
IA,JBJM
IA,JBJN
IA,JBPI
IA,JCJI
IA,JCJN
IA,JGJSI
IA,JGPI
IA,JHMI
IA,JKE01
IA,JKE02
IA,JKE03
IA,JKE04
IA,JKE05
IA,JKE06
IA,JKT00
IA,JKT02
IA,JKT03
IA,JKT05
IA,JKT07
IA,JKT08
IA,JKT10
IA,JKT11
IA,JKT12
IA,JMBI
IA,JMPI
IA,JMSI
IA,JPJI
IA,JPSI
IA,JPSR
IA,JSBFM
IA,JSJN
IA,JSJR
IA,JSRJI
IA,JTJM
IA,JTJN
IA,JTPU
IA,JUII
IA,JWJM
IA,KABKI
IA,KAKKI
IA,KARPI
IA,KASAI
IA,KASI
IA,KBBI
IA,KBJM
IA,KBJN
IA,KBKI
IA,KBKN
IA,KBSR
IA,KBSSI
IA,KCJN
IA,KCJR
IA,KCSI
IA,KDI
IA,KDRI
IA,KGCM
IA,KHBO
IA,KHK
IA,KHSSI
IA,KIMPI
IA,KJCM
IA,KJJR
IA,KJPJI
IA,KKJM
IA,KKJN
IA,KKJR
IA,KKKI
IA,KKKKI
IA,KKMI
IA,KKSI
IA,KKTKI
IA,KLI
IA,KLJI
IA,KLKI
IA,KLNI
IA,KLSI
IA,KLSM
IA,KMBFM
IA,KMJR
IA,KMMI
IA,KMNI
IA,KMPI
IA,KMRS
IA,KMSI
IA,KNSN
IA,KOMFI
IA,KORPI
IA,KPJI
IA,KPJM
IA,KPSR
IA,KRAI
IA,KRJI
IA,KRK
IA,KRMJI
IA,KRSI
IA,KRSN
IA,KSI
IA,KSJR
IA,KSPJI
IA,KTKN
IA,KTMI
IA,KTSR
IA,KTTI
IA,KUBSI
IA,KUEL
IA,KUGE
IA,KUKI
IA,KULA
IA,KUMA
IA,KUSI
IA,KUSN
IA,KWJI
IA,KWSI
IA,KYJR
IA,LABA
IA,LAPSI
IA,LASI
IA,LATA
IA,LBDSI
IA,LBFI
IA,LBJN
IA,LBMI
IA,LBNFM
IA,LBTSI
IA,LCJN
IA,LCJR
IA,LDSI
IA,LEM
IA,LEMFI
IA,LESM
IA,LFTI
IA,LHMI
IA,LHSI
IA,LHSM
IA,LISM
IA,LJPI
IA,LKCI
IA,LKSM
IA,LKUCM
IA,LLSI
IA,LLSM
IA,LMJSI
IA,LMNI
IA,LMTI
IA,LOCM
IA,LOMSI
IA,LPCM
IA,LPJR
IA,LPSM
IA,LPSR
IA,LRTI
IA,LSCM
IA,LSJR
IA,LSNI
IA,LSSN
IA,LTJN
IA,LTNI
IA,LTNSI
IA,LTSM
IA,LUCM
IA,LUJI
IA,LUWI
IA,LWLI
IA,MABKI
IA,MAKBI
IA,MAKKI
IA,MAKO
IA,MAPI
IA,MASFI
IA,MASI
IA,MASM
IA,MASSI
IA,MBBI
IA,MBJI
IA,MBJN
IA,MBPI
IA,MBRPI
IA,MBSI
IA,MBSM
IA,MBSN
IA,MBSR
IA,MCJN
IA,MDSI
IA,MEBA
IA,MEBW
IA,MEPA
IA,MESA
IA,MGAI
IA,MGJR
IA,MIBPI
IA,MIPI
IA,MISSI
IA,MJNE
IA,MJSI
IA,MKBI
IA,MKJM
IA,MKS
IA,MKSM
IA,MKSR
IA,MLJI
IA,MLJM
IA,MLJN
IA,MLJR
IA,MLMMI
IA,MLSI
IA,MLSN
IA,MMCI
IA,MMPI
IA,MMRI
IA,MMSI
IA,MMSN
IA,MMTN
IA,MNAI
IA,MNI
IA,MNSI
IA,MPSI
IA,MPSM
IA,MRSI
IA,MSAI
IA,MSBA
IA,MSCM
IA,MSHHI
IA,MSSI
IA,MTAI
IA,MTCM
IA,MTJN
IA,MTJPI
IA,MTKI
IA,MTLN
IA,MTMPI
IA,MTMTI
IA,MTNI
IA,MTSI
IA,MTSM
IA,MTSN
IA,MUMUI
IA,MUNJI
IA,MUSN
IA,MUTSI
IA,MWPI
IA,N1PJJ
IA,N2PJJ
IA,N3PJJ
IA,NANFI
IA,NATBJ
IA,NBBBS
IA,NBBI
IA,NBBSS
IA,NBCBJ
IA,NBD01
IA,NBD02
IA,NBD03
IA,NBD04
IA,NBD05
IA,NBD06
IA,NBD07
IA,NBD08
IA,NBD09
IA,NBD10
IA,NBD11
IA,NBD12
IA,NBD13
IA,NBD14
IA,NBD15
IA,NBD16
IA,NBD17
IA,NBD18
IA,NBD19
IA,NBD20
IA,NBD21
IA,NBD98
IA,NBD99
IA,NBDBB
IA,NBE01
IA,NBE02
IA,NBE03
IA,NBE04
IA,NBE05
IA,NBE06
IA,NBE07
IA,NBE08
IA,NBE09
IA,NBE10
IA,NBE11
IA,NBE12
IA,NBG01
IA,NBG02
IA,NBG03
IA,NBG04
IA,NBG05
IA,NBG06
IA,NBG07
IA,NBG08
IA,NBG09
IA,NBG10
IA,NBG11
IA,NBG12
IA,NBG13
IA,NBG14
IA,NBG15
IA,NBG16
IA,NBG98
IA,NBG99
IA,NBI01
IA,NBI02
IA,NBI03
IA,NBI04
IA,NBJR
IA,NBK01
IA,NBK02
IA,NBK03
IA,NBK04
IA,NBK05
IA,NBK06
IA,NBK07
IA,NBK08
IA,NBL01
